"","OR","p.value","adj.P.Val","setSize","numSig","ID","sigGenes"
"Substance-Related Disorders",4.12639040348964,4.67788167420609e-15,4.88370846787116e-12,347,33,"MESH:D019966","XDH;APP;NEFH;NTRK2;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;CARTPT;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;OPRD1;GRIA3;AP2B1;KLF12;GRIA4;THSD4;PCSK1N;KCNIP3;SLC2A13;XKR4;DSCAM"
"Catalepsy",3.16954726513164,5.32879313092146e-15,5.55793123555108e-12,779,53,"MESH:D002375","ANXA5;TGFB3;XDH;APP;LPL;TIMP3;TGFBR2;MTHFD2;EIF2AK3;NRG1;ERBB4;NREP;NEFH;NTRK2;CALB1;PTGS1;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;VGF;CARTPT;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;OPRD1;NPTX2;GNG4;ABAT;RASGRP1;SPARCL1;PC;PAQR8;SLC6A1;ADRA1D;KCNIP3;KCNJ6"
"Psychoses, Substance-Induced",4.09448051948052,6.79116096163759e-15,7.07638972202637e-12,371,33,"MESH:D011605","APP;LPL;NTRK2;ATF3;MAPK9;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;CARTPT;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;OPRD1;GRIA3;EFNB3;SNAP25;NRN1;PRKACB;RPH3A"
"Anxiety Disorders",2.2998848345254,8.68810919722344e-15,9.0443216743096e-12,2775,126,"MESH:D001008","ANXA5;IFRD1;TGFB3;TCF4;RHOB;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;LGALS1;NRG1;WT1;NREP;NEFH;NTRK2;CALB1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;VGF;CARTPT;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;OPRD1;GRIA3;EFNB3;SNAP25;HIVEP1;ABAT;RASGRP1;NRN1;GUCY1A3;PRKACB;EIF4G2;DDAH1;PRSS23;TUBB2B;ARHGAP26;ZEB2;LRP1;PFKP;EFHD2;GDF10;SYT1;RGS17;GNB4;BTBD11;SLC7A1;ST3GAL6;ALPK2;L1CAM;CLSTN1;KLF12;DTNA;MFAP3L;GNAL;CRHR2;LURAP1L;NECAB1;PTPRU;OPCML;C1QTNF4;MAP6;GABBR2;GRIA4;TYRO3;KCNK2;GPR137C;ST8SIA2;SLC6A1;ADRA1D;KCNJ4;SYT11;PCSK1N;RPH3A;KCNIP3;KCNJ6;DPP10;PLEKHD1;SRRM4;RIT2;SV2C;PLCXD3;KCNMB2;RIMS1;SLC35F3;GPRIN3;DISP2;TLL1;CNNM3;LANCL3;DIRAS2;FAT3;ZNF274;DLG2;CNTNAP2;GPR83;CA7;TMEM229B;VWC2L"
"Brain Diseases",2.14699074074074,9.83198184379501e-15,1.02252611175468e-11,4622,190,"MESH:D001927","UFD1L;GALNT16;HABP4;SLC27A2;FAT1;ANXA5;IFRD1;DUSP5;TGFB3;SERPINE2;TCF4;RHOB;SFRP2;FAM129A;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;DUSP10;ERBB4;WT1;NREP;ARHGAP5;NEFH;NTRK2;CD47;HTRA1;NUDT4;LAMB1;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;DOK4;VGF;CARTPT;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;GRIA3;EFNB3;NPTX2;SNAP25;PHKA2;PRMT2;HIVEP1;CARS;GNG4;DPYSL2;ABAT;PTN;RASGRP1;NRN1;GUCY1A3;PRKACB;ADCYAP1;EIF4G2;IQGAP2;HLF;FRZB;DDAH1;PRSS23;ENAH;ETV5;SPARCL1;MCC;PEA15;SMARCA2;CAMK2G;PSME1;GPT2;CYFIP2;GBE1;SPRY2;TUBB2B;PDZD2;SLC4A8;CREB3;MOXD1;ARHGAP26;ZEB2;TUBB2A;MAP4;ETS1;IFIT3;LRP1;MEF2C;PC;PTPRD;ZWINT;PFKP;MATN2;CLIC4;EFHD2;NR4A3;FAM65B;GDF10;ADCY1;STAMBPL1;SYT1;ELMO1;RGS17;NETO2;GPM6A;RNF144B;GNB4;BTBD11;SLC7A1;IRF6;ST3GAL6;ALPK2;L1CAM;MAPK6;ADARB1;SPRY4;LAPTM4B;ZNRF1;TMTC4;SCN3B;SLC24A3;TMTC1;USP25;UBASH3B;NTRK3;CLSTN1;ASAP1;KLF12;DTNA;MFAP3L;PTPRU;C1QTNF4;GABBR2;GRIA4;PAQR8;TRPC6;TYRO3;PNOC;ATP1A3;HDAC9;SLC6A1;ADRA1D;KCNA4;SYT11;ABCA8;STXBP2;SHC3;PCDH8;MAN2A2;THSD7A;RPH3A;KIRREL3;KCNIP3;SLC2A13;KCNJ6;PCDH20;NMBR;FAT3;CA7"
"Basal Ganglia Diseases",5.52944212743114,1.25847261805019e-14,1.30755305015415e-11,191,21,"MESH:D001480","APP;EIF2AK3;MAPK3;JUN;ASNS;HMGCS1;RGS2;BDNF;ACHE;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PDYN;GRIA3;EFNB3;KCNJ6"
"Cerebral Hemorrhage",2.54551152674531,1.3992672058738e-14,1.45243935969701e-11,1610,87,"MESH:D002543","SLC27A2;IFRD1;DUSP5;SERPINE2;TCF4;RHOB;SFRP2;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;NRG1;CLDN1;DUSP10;ERBB4;NREP;NEFH;NTRK2;CD47;LAMB1;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;HTR2C;PDYN;GRIA3;EFNB3;GNG4;ABAT;PTN;RASGRP1;NRN1;GUCY1A3;PRKACB;ETV5;TUBB2B;SLC4A8;MEF2C;MATN2;CLIC4;LRIG1;FAM65B;GDF10;STAMBPL1;RGS17;GNB4;IRF6;ST3GAL6;L1CAM;SLC24A3;CLSTN1;MFAP3L;CRHR2;GRIA4;PAQR8;TYRO3;ADRA1D;SLIT1;KCNJ6"
"Psychomotor Agitation",5.28233830845771,1.88520514855126e-14,1.95495773904766e-11,200,22,"MESH:D011595","APP;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;GRIA3;ADCYAP1;KCNJ6"
"Catatonia",5.07659094850009,2.46519496153969e-14,2.55394198015512e-11,215,23,"MESH:D002389","APP;NTRK2;PTGS1;MAPK3;JUN;HMGCS1;RGS2;BDNF;ACHE;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PDYN;OPRD1;GRIA3;EFNB3;PCSK1N;KCNJ6"
"Hallucinations",3.46582248332804,2.59610746751339e-14,2.68697122887636e-11,558,42,"MESH:D006212","APP;LPL;MTHFD2;EIF2AK3;DUSP10;NREP;ARHGAP5;NEFH;NTRK2;ABCA1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;VGF;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;OPRD1;GRIA3;EFNB3;NRN1;PRKACB;ELMO1;KCNJ6"
"Prenatal Injuries",2.11437748431701,2.7375264895745e-14,2.83060239022003e-11,5053,200,"MESH:D049188","FRAS1;ASTN1;FAM49A;PCDH17;GALNT16;KCNC1;DPP6;NETO1;ARHGAP15;SLC27A2;FAT1;ANXA5;IFRD1;DUSP5;TGFB3;SERPINE2;TCF4;RHOB;SFRP2;FAM129A;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;DUSP10;ERBB4;WT1;NREP;ARHGAP5;NEFH;NTRK2;CD47;NUDT4;LAMB1;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;VGF;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;GRIA3;EFNB3;NPTX2;SNAP25;PRMT2;CARS;DPYSL2;ABAT;PTN;RASGRP1;NRN1;GUCY1A3;PRKACB;EIF4G2;IQGAP2;PAK3;FRZB;DDAH1;PRSS23;ENAH;ETV5;SPARCL1;SCPEP1;ADCY2;MCC;SMARCA2;CAMK2G;PSME1;GPT2;CYFIP2;SPRY2;TUBB2B;PDZD2;SLC4A8;CREB3;MOXD1;KRT80;ARHGAP26;ZEB2;TUBB2A;MAP4;ETS1;IFIT3;PTPRE;MEF2C;PC;PTPRD;ZWINT;PFKP;MATN2;CLIC4;NR4A3;SYNJ2;FAM65B;HSD17B12;GDF10;ADCY1;STAMBPL1;SYT1;ELMO1;RGS17;NETO2;GPM6A;THBS2;GNB4;BTBD11;IRF6;ST3GAL6;ALPK2;L1CAM;MAPK6;SPRY4;ADCYAP1R1;LAPTM4B;ZNRF1;RSPO3;GFPT2;SCN3B;UBASH3B;AP2B1;NTRK3;HAP1;CLSTN1;ASAP1;SNX6;DTNA;MFAP3L;NECAB1;PTPRU;C1QTNF4;MAP6;GABBR2;GRIA4;PAQR8;TRPC6;FAM84B;GPR176;TYRO3;ATP1A3;KCNK2;HDAC9;ST8SIA2;SLC6A1;KCNA4;SYT11;ST6GALNAC5;MAN1C1;STXBP2;PCSK1;CPNE4;PCDH8;SLIT1;STMN2;DLGAP1;MYH8;TTYH1;IL1RAPL2;AKAP5;GXYLT2;XKR4;TLL1;TMEM229B;MCTP2;LRRTM2;UNC5D;VAT1L"
"Parkinson Disease, Secondary",4.30824852390511,2.87625728156578e-14,2.97117377185746e-11,315,29,"MESH:D010302","ANXA5;APP;LPL;EIF2AK3;NRG1;PTGS1;ATF3;MAPK9;ATF4;MAPK3;JUN;ASNS;RGS2;BDNF;ACHE;VGF;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PDYN;EFNB3;MEF2C;PNOC;KCNJ6"
"Panic Disorder",4.51376328209455,2.98030154799518e-14,3.07567119753103e-11,281,27,"MESH:D016584","XDH;LPL;TIMP3;TGFBR2;NEFH;NTRK2;PTGS1;SPP1;GPX3;MAPK3;JUN;ASNS;HMGCS1;RGS2;BDNF;CNR1;FOSB;GAD1;TAC1;HTR2C;PDYN;OPRD1;GRIA3;EFNB3;TUBB2A;KCNJ4;KCNJ6"
"Sexual Dysfunctions, Psychological",4.37223865877712,4.13209036816376e-14,4.26018516957683e-11,288,28,"MESH:D020018","LPL;NTRK2;MAPK9;MAPK3;JUN;ASNS;HMGCS1;FOSL2;BDNF;CARTPT;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;GRIA3;EFNB3;NPTX2;SNAP25;PRKACB;NR4A3;KCNIP3;KCNJ6"
"Speech Disorders",6.05368421052632,4.35236885384e-14,4.4829399194552e-11,146,18,"MESH:D013064","APP;NTRK2;BCL2L11;MAPK3;JUN;HMGCS1;RGS2;BDNF;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;GRIA3;PCSK1N"
"Rhabdomyolysis",3.22941554912205,4.9238525793816e-14,5.06664430418367e-11,661,47,"MESH:D012206","SLC27A2;ANXA5;RHOB;APP;LPL;TGFBR2;MTHFD2;EIF2AK3;NEFH;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;AGTR1;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PDYN;OPRD1;CARS;DPYSL2;PTN;NRN1;PRKACB;ST3GAL6;ADRA1D;KCNJ4;KCNA4;SYT11;PCSK1N;KCNJ6"
"Abdominal Pain",2.67960569214836,8.55002329109294e-14,8.78942394324354e-11,1195,70,"MESH:D015746","SLC27A2;ANXA5;IFRD1;RHOB;SFRP2;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;DUSP10;ERBB4;NREP;NTRK2;CD47;HTRA1;NUDT4;LAMB1;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;VGF;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;OPRD1;GRIA3;EFNB3;PTN;ADCYAP1;SLC4A8;MATN2;RGS17;GPM6A;ST3GAL6;ALPK2;KCNK2;HDAC9;SLIT1;KCNJ6;GPR83"
"Muscle Rigidity",5.9279381443299,9.27172515030318e-14,9.52206172936137e-11,143,18,"MESH:D009127","APP;NTRK2;MAPK3;JUN;RGS2;BDNF;ACHE;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;HTR2C;PVALB;PDYN;GRIA3;KCNJ6"
"Tachycardia",3.12375790424571,9.66923672280052e-14,9.92063687759333e-11,727,49,"MESH:D013610","IFRD1;TGFB3;XDH;APP;LPL;CXCR4;TGFBR2;EIF2AK3;ERBB4;NREP;NEFH;NTRK2;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;VGF;CARTPT;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;OPRD1;EFNB3;NRN1;AP2B1;ADRA1D;KCNJ6"
"Bradycardia",2.61680815142436,9.96857066387251e-14,1.02177849304693e-10,1328,74,"MESH:D001919","ANXA5;IFRD1;TGFB3;SERPINE2;RHOB;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;ERBB4;NREP;ARHGAP5;NEFH;NTRK2;HTRA1;NUDT4;LAMB1;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;VGF;CARTPT;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;OPRD1;GRIA3;EFNB3;SNAP25;RASGRP1;NRN1;PRKACB;MEF2C;PC;PFKP;MATN2;NR4A3;SYT1;BTBD11;KCNK2;ADRA1D;SYT11;KCNJ6"
"Psychomotor Disorders",3.1817630109949,1.07314946009612e-13,1.09890504713842e-10,637,47,"MESH:D011596","SLC27A2;XDH;APP;LPL;TGFBR2;EIF2AK3;GFRA1;NRG1;NEFH;NTRK2;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;VGF;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;HTR2C;PVALB;PDYN;OPRD1;GRIA3;SNAP25;ABAT;PTN;RASGRP1;ADCYAP1;DDAH1;AP2B1;GPR137C;PCSK1N;KCNJ6"
"Impulse Control Disorders",7.27950008115566,1.43796882668941e-13,1.47104210970327e-10,96,14,"MESH:D007174","NTRK2;MAPK3;JUN;ASNS;HMGCS1;BDNF;GRIN2B;CNR1;FOSB;GAD1;TAC1;HTR2C;PDYN;KCNJ6"
"Psychotic Disorders",5.57710790738314,1.74822236291485e-13,1.78668325489898e-10,163,19,"MESH:D011618","NTRK2;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;SNAP25"
"Brain Edema",2.42522843403879,2.10477157344258e-13,2.14897177648488e-10,1685,89,"MESH:D001929","ASTN1;GALNT16;SLC27A2;FAT1;ANXA5;IFRD1;TGFB3;SERPINE2;RHOB;SFRP2;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;ERBB4;ARHGAP5;NEFH;NTRK2;CD47;LAMB1;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;DOK4;VGF;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;HTR2C;PVALB;PDYN;EFNB3;NPTX2;ABAT;NRN1;GUCY1A3;PRKACB;DDAH1;SPARCL1;MCC;PEA15;SPRY2;CREB3;TUBB2A;ETS1;MEF2C;EFHD2;NR4A3;GDF10;SYT1;ELMO1;BTBD11;SLC7A1;CLSTN1;DTNA;GNAL;ATP1A3;SYT11;TTYH1;RPH3A;KCNIP2"
"Substance Withdrawal Syndrome",2.46078723351451,2.17706413269833e-13,2.22060541535229e-10,1575,85,"MESH:D013375","SLC27A2;FAT1;ANXA5;IFRD1;TGFB3;SERPINE2;TCF4;RHOB;SFRP2;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;MTHFD2;EIF2AK3;NREP;ARHGAP5;NEFH;NTRK2;NUDT4;LAMB1;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;CARTPT;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;OPRD1;GRIA3;EFNB3;NPTX2;SNAP25;PHKA2;CARS;ABAT;PTN;RASGRP1;NRN1;GUCY1A3;PRKACB;ADCYAP1;DDAH1;ETV5;SMARCA2;TUBB2A;LRP1;PC;FAM65B;ADCY1;ST3GAL6;TMTC4;CHRNA6;AP2B1;PNOC;LYPD6;SLC6A1;KCNA4;PCSK1N;KCNJ6"
"Nervous System Malformations",2.11660316300433,2.68876178684461e-13,2.73984826079466e-10,3604,152,"MESH:D009421","WDR6;STMN3;DPP6;SLC27A2;FAT1;ANXA5;IFRD1;DUSP5;TGFB3;SERPINE2;TCF4;RHOB;SFRP2;FAM129A;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;DUSP10;ERBB4;WT1;NREP;NEFH;NTRK2;CD47;HTRA1;NUDT4;LAMB1;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;BDNF;ACHE;AGTR1;DOK4;CARTPT;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;GRIA3;EFNB3;NPTX2;HIVEP1;GNG4;DPYSL2;ABAT;PTN;RASGRP1;NRN1;GUCY1A3;PRKACB;EIF4G2;FRZB;DDAH1;PRSS23;ENAH;ETV5;SPARCL1;SMARCA2;CAMK2G;CYFIP2;GBE1;SPRY2;TUBB2B;SLC4A8;CREB3;KRT80;ARHGAP26;ZEB2;MAP4;ETS1;IFIT3;LRP1;MEF2C;PFKP;MATN2;CLIC4;HSD17B12;GDF10;ADCY1;STAMBPL1;SYT1;ELMO1;NETO2;GPM6A;GNB4;BTBD11;ST3GAL6;ALPK2;L1CAM;SPRY4;ADCYAP1R1;SYNGR3;FAM84A;HIP1;CLSTN3;LAPTM4B;ZNRF1;RSPO3;CHRNA6;SLC24A3;TMTC1;AP2B1;NTRK3;ASAP1;MFAP3L;CRHR2;LURAP1L;OPCML;C1QTNF4;MAP6;GABBR2;GRIA4;PAQR8;FAM84B;SYT11;CPNE4;PCDH8;PCDH19;SLIT1;TTYH1;RPH3A;GRPR;KCNJ6;GXYLT2"
"Urinary Retention",4.11082492168465,5.56768587081715e-13,5.66790421649186e-10,328,28,"MESH:D016055","APP;NEFH;NTRK2;PTGS1;BCL2L11;ATF3;ATF4;MAPK3;JUN;ASNS;HMGCS1;FOSL2;BDNF;ACHE;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;GRIA3;SNAP25;ADRA1D;KCNJ6"
