"Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"IP","CC","GO:0045211","postsynaptic membrane","38/425","343/13939",5.09844445843695e-12,3.97678667758082e-10,2.70128109903151e-10,"Erbb4/Srgap2/Dnm3/Ank2/Mpdz/Grik3/Oprd1/Grip2/Slc6a1/Iqsec3/Clstn3/Shank1/Kcnc3/Grin2d/Kcnc1/Ntrk3/Shank2/Dlgap2/Ank1/Gria4/Syne1/Grm1/Ank3/Kcnc2/Grip1/Gria1/Srcin1/Actn2/Dbn1/Adra1a/Cdh9/Shank3/Scn8a/Grik1/Dlgap1/Cpeb3/Dmd/Iqsec2",38
"IP","CC","GO:0014069","postsynaptic density","39/425","378/13939",2.39428985282459e-11,1.5845847772844e-09,1.0763486341428e-09,"Dst/Erbb4/Srgap2/Dnm3/Map1a/Usp8/Ank2/Macf1/Oprd1/Pclo/Nos1/Ppp1r9a/Iqsec1/Grip2/Iqsec3/Clstn3/Shank1/Grin2d/Shank2/Sorbs2/Gria4/Bsn/Grm1/Grip1/Nefh/Sptbn1/Gria1/Nf1/Srcin1/Actn2/Dbn1/Map1b/Shank3/Scn8a/Kalrn/Grik1/Epb41l3/Dlgap1/Iqsec2",39
"IP","CC","GO:0044306","neuron projection terminus","26/425","178/13939",3.00941161698348e-11,1.5845847772844e-09,1.0763486341428e-09,"Gad1/Slc32a1/Mme/Kcna2/Calb1/Unc13b/Grik3/Oprd1/Pclo/Cplx1/Nos1/Npy/Atp1a3/Kcnc3/Kcnc1/Unc13a/Gria4/Bsn/Kcnc2/Crhbp/Hcn1/Grik1/Itsn1/Apc/Got1/Dmd",26
"IP","CC","GO:0032279","asymmetric synapse","39/425","381/13939",3.04727841785461e-11,1.5845847772844e-09,1.0763486341428e-09,"Dst/Erbb4/Srgap2/Dnm3/Map1a/Usp8/Ank2/Macf1/Oprd1/Pclo/Nos1/Ppp1r9a/Iqsec1/Grip2/Iqsec3/Clstn3/Shank1/Grin2d/Shank2/Sorbs2/Gria4/Bsn/Grm1/Grip1/Nefh/Sptbn1/Gria1/Nf1/Srcin1/Actn2/Dbn1/Map1b/Shank3/Scn8a/Kalrn/Grik1/Epb41l3/Dlgap1/Iqsec2",39
"Input","CC","GO:0098978","glutamatergic synapse","42/397","487/13939",1.37148839056347e-10,2.72240445526848e-08,1.79737162763317e-08,"Atp2b4/Scn2a/Lrrc4c/Slc1a2/Lin7c/Nlgn1/Bcan/Plppr4/Ppp3ca/Hpca/Grm3/Cacna2d1/Ywhah/Nptx2/Cadps2/Apoe/Gpm6a/Sept7/Rpsa/Atp2b1/Ppp3r1/Sparc/Ywhae/Cacng4/Nptx1/Nrn1/Cplx2/Rgs14/Homer1/Ndrg2/Ptk2b/Ywhaz/Mal2/Ndrg1/Nptxr/Grasp/Itgb5/Nrxn1/Cdh2/Camk4/Synpo/Camk2a",42
"Input","MF","GO:0003735","structural constituent of ribosome","22/396","144/13615",1.71757639859847e-10,9.51537324823553e-08,7.50309689914069e-08,"Rpl35/Rps3a1/Rps6/Rps8/Rpl9/Rplp0/Rps17/Rpl27a/Rplp2/Rpl13/Rplp1/Rpsa/Rpl14/Rps15/Rpl41/Rpl26/Rps7/Rps23/Rps24/Rpl37/Rps2/Rps4x",22
"IP","CC","GO:0099572","postsynaptic specialization","39/425","409/13939",2.55520359208526e-10,1.1958352810959e-08,8.12285773483945e-09,"Dst/Erbb4/Srgap2/Dnm3/Map1a/Usp8/Ank2/Macf1/Oprd1/Pclo/Nos1/Ppp1r9a/Iqsec1/Grip2/Iqsec3/Clstn3/Shank1/Grin2d/Shank2/Sorbs2/Gria4/Bsn/Grm1/Grip1/Nefh/Sptbn1/Gria1/Nf1/Srcin1/Actn2/Dbn1/Map1b/Shank3/Scn8a/Kalrn/Grik1/Epb41l3/Dlgap1/Iqsec2",39
"Input","BP","GO:0099177","regulation of trans-synaptic signaling","40/397","461/13697",5.38735980114434e-10,2.08113709118206e-06,1.66497772380629e-06,"Serpine2/Dbi/Adora1/Glul/Rgs4/Kcnj10/Lrrc4c/Bdnf/Itpka/Prnp/Fabp5/Car2/Nlgn1/Slc7a11/Ppp3ca/Grm3/Nptx2/Snca/Apoe/Gnai2/Cx3cr1/Ppp3r1/Neurod2/Cacng4/Nptx1/Nrn1/Cplx2/Rgs14/Homer1/Fam107a/Ptk2b/Slc1a3/Nptxr/Sept5/Nrxn1/Cdh2/Egr1/Synpo/Camk2a/Htr2c",40
"Input","BP","GO:0042063","gliogenesis","29/397","272/13697",1.40898744732881e-09,2.24958219880123e-06,1.79973931786869e-06,"Serpine2/Dbi/Gpr37l1/Kcnj10/Ptprj/Cers2/Tspan2/Pou3f2/Nfib/Plpp3/Fgfr3/Ptn/Nfix/Zfp365/Ppp3r1/Vtn/Cdk5r1/Cnp/Sox9/Id2/Zcchc24/Clu/Enpp2/Ndrg1/Qk/Sox8/Daam2/Cdh2/Plp1",29
"Input","BP","GO:0050804","modulation of chemical synaptic transmission","39/397","460/13697",1.74702215801286e-09,2.24958219880123e-06,1.79973931786869e-06,"Serpine2/Dbi/Adora1/Glul/Rgs4/Kcnj10/Lrrc4c/Bdnf/Itpka/Prnp/Car2/Nlgn1/Slc7a11/Ppp3ca/Grm3/Nptx2/Snca/Apoe/Gnai2/Cx3cr1/Ppp3r1/Neurod2/Cacng4/Nptx1/Nrn1/Cplx2/Rgs14/Homer1/Fam107a/Ptk2b/Slc1a3/Nptxr/Sept5/Nrxn1/Cdh2/Egr1/Synpo/Camk2a/Htr2c",39
"IP","CC","GO:0030018","Z disc","18/425","104/13939",2.16240538567882e-09,8.24231067438661e-08,5.59869056154916e-08,"Dst/Sphkap/Sptan1/Scn1a/Ank2/Grk3/Nos1/Actn4/Synm/Ank1/Ank3/Mybpc1/Syne2/Actn1/Actn2/Adra1a/Scn8a/Dmd",18
"IP","CC","GO:0043679","axon terminus","22/425","157/13939",2.28777953325022e-09,8.24231067438661e-08,5.59869056154916e-08,"Gad1/Slc32a1/Kcna2/Calb1/Unc13b/Grik3/Oprd1/Pclo/Cplx1/Nos1/Npy/Atp1a3/Kcnc3/Kcnc1/Unc13a/Gria4/Kcnc2/Crhbp/Hcn1/Grik1/Itsn1/Got1",22
"IP","CC","GO:0150034","distal axon","33/425","332/13939",2.28953074288517e-09,8.24231067438661e-08,5.59869056154916e-08,"Gad1/Zfp804a/Slc32a1/Kcna2/Calb1/Unc13b/Grik3/Oprd1/Pclo/Cplx1/Nos1/Ppp1r9a/Npy/Atp1a3/Kcnc3/Myh14/Kcnc1/Shank2/Unc13a/Gria4/Utrn/Kcnc2/Inpp5j/Myh10/Nin/Dbn1/Crhbp/Map1b/Hcn1/Grik1/Itsn1/Apc/Got1",33
"Input","CC","GO:0005840","ribosome","25/397","216/13939",2.60674382808871e-09,3.44959099917073e-07,2.27747092348803e-07,"Rpl35/Rps3a1/Rpl34/Rps6/Rps8/Rpl9/Rplp0/Snca/Rps17/Rpl27a/Rplp2/Rpl13/Rplp1/Rpsa/Rpl14/Rps15/Rpl41/Rpl26/Rps7/Rps23/Rps24/Rpl37/Apod/Rps2/Rps4x",25
"IP","CC","GO:0034703","cation channel complex","24/425","188/13939",2.89138731361235e-09,9.66549473407558e-08,6.56540577978143e-08,"Scn1a/Kcnab1/Kcna2/Grik3/Kcnh2/Cntnap2/Shank1/Kcnc3/Grin2d/Kcnc1/Shank2/Cacna1a/Gria4/Cacna2d2/Sacm1l/Kcnc2/Kcnip1/Gria1/Kcns3/Akap6/Hcn1/Shank3/Scn8a/Grik1",24
"IP","CC","GO:0044449","contractile fiber part","22/425","160/13939",3.28722866519463e-09,1.02561534354073e-07,6.96661794307915e-08,"Dst/Sphkap/Sptan1/Scn1a/Ank2/Grk3/Nos1/Chl1/Actn4/Synm/Ank1/Syne1/Ank3/Mybpc1/Sptbn1/Syne2/Actn1/Actn2/Adra1a/Scn8a/Svil/Dmd",22
"IP","BP","GO:0042391","regulation of membrane potential","35/425","367/13697",3.45651705686144e-09,3.06333824164345e-06,2.71973315789887e-06,"Atp1b1/Scn1a/Rims4/Kcna2/Ank2/Unc13b/Grik3/Oprd1/Reln/Kcnh2/Ppp1r9a/Tac1/Atp1a3/Shank1/Myh14/Grin2d/Ntrk3/Shank2/Cacna1a/Syne1/Ank3/Kcnc2/Kcnip1/Gria1/Akap6/Actn2/Dbn1/Hcn1/Adra1a/Shank3/Scn8a/Abat/Grik1/Got1/Dmd",35
"IP","CC","GO:0030017","sarcomere","21/425","147/13939",3.73002427761154e-09,1.09103210120138e-07,7.41096928841241e-08,"Dst/Sphkap/Sptan1/Scn1a/Ank2/Grk3/Nos1/Chl1/Actn4/Synm/Ank1/Syne1/Ank3/Mybpc1/Sptbn1/Syne2/Actn1/Actn2/Adra1a/Scn8a/Dmd",21
"Input","BP","GO:0010001","glial cell differentiation","24/397","201/13697",4.09072319350715e-09,3.95061592412953e-06,3.16062192003605e-06,"Serpine2/Gpr37l1/Kcnj10/Ptprj/Tspan2/Pou3f2/Nfib/Plpp3/Fgfr3/Nfix/Zfp365/Ppp3r1/Vtn/Cnp/Sox9/Id2/Clu/Enpp2/Ndrg1/Qk/Sox8/Daam2/Cdh2/Plp1",24
"IP","CC","GO:0030673","axolemma","9/425","21/13939",4.44560379739948e-09,1.14781311748664e-07,7.79666130186607e-08,"Cntnap2/Kcnc3/Kcnc1/Ank1/Kcnc2/Sptbn1/Robo1/Mapk8ip3/Epb41l3",9
"IP","CC","GO:0015629","actin cytoskeleton","37/425","414/13939",4.49617256496265e-09,1.14781311748664e-07,7.79666130186607e-08,"Dst/Sptan1/Gsn/Macf1/Afap1/Limch1/Ppp1r9a/Sptbn4/Actn4/Myh14/Myo16/Myo9a/Myo1e/Myo5a/Utrn/Apc2/Mybpc1/Sptbn1/Mprip/Specc1/Myh10/Myo18a/Srcin1/Daam1/Sptb/Actn1/Cdc42bpb/Actn2/Dbn1/Flnb/Myh9/Itsn1/Svil/Myo5b/Sptbn2/Sorbs1/Amot",37
"IP","CC","GO:0031674","I band","18/425","109/13939",4.72189736354482e-09,1.14781311748664e-07,7.79666130186607e-08,"Dst/Sphkap/Sptan1/Scn1a/Ank2/Grk3/Nos1/Actn4/Synm/Ank1/Ank3/Mybpc1/Syne2/Actn1/Actn2/Adra1a/Scn8a/Dmd",18
"IP","CC","GO:0042734","presynaptic membrane","23/425","178/13939",4.90518426276342e-09,1.14781311748664e-07,7.79666130186607e-08,"Erbb4/Scn1a/Rims4/Kcna2/Unc13b/Grik3/Oprd1/Slc6a1/Atp1a3/Kcnc3/Kcnc1/Unc13a/Cacna1a/Cntnap4/Grm1/Kcnc2/Gria1/Cltc/Nrxn3/Adra1a/Cdh9/Scn8a/Grik1",23
"IP","BP","GO:0035249","synaptic transmission, glutamatergic","17/425","96/13697",5.46960806150042e-09,3.8779521156038e-06,3.44297433766026e-06,"Unc13b/Grik3/Reln/Oxtr/Clstn3/Shank1/Grin2d/Shank2/Unc13a/Cacna1a/Gria4/Grm1/Nf1/Shank3/Kalrn/Grik1/Iqsec2",17
"IP","CC","GO:0043292","contractile fiber","23/425","179/13939",5.47235499855807e-09,1.20001517203898e-07,8.15125015645008e-08,"Dst/Sphkap/Sptan1/Scn1a/Ank2/Grk3/Nos1/Chl1/Actn4/Synm/Ank1/Syne1/Ank3/Mybpc1/Sptbn1/Syne2/Actn1/Actn2/Adra1a/Plec/Scn8a/Svil/Dmd",23
"IP","CC","GO:0030016","myofibril","22/425","165/13939",5.89751046087531e-09,1.20001517203898e-07,8.15125015645008e-08,"Dst/Sphkap/Sptan1/Scn1a/Ank2/Grk3/Nos1/Chl1/Actn4/Synm/Ank1/Syne1/Ank3/Mybpc1/Sptbn1/Syne2/Actn1/Actn2/Adra1a/Scn8a/Svil/Dmd",22
"IP","CC","GO:0044448","cell cortex part","22/425","165/13939",5.89751046087531e-09,1.20001517203898e-07,8.15125015645008e-08,"Sptan1/Gsn/Rims4/Unc13b/Pclo/Ppp1r9a/Sptbn4/Actn4/Ank1/Unc13a/Myo1e/Bsn/Utrn/Sptbn1/Stxbp6/Sptb/Actn1/Actn2/Myh9/Myo5b/Sptbn2/Iqsec2",22
"IP","CC","GO:0030863","cortical cytoskeleton","17/425","99/13939",6.8798778287623e-09,1.34157617660865e-07,9.11282063283428e-08,"Sptan1/Gsn/Rims4/Pclo/Ppp1r9a/Sptbn4/Actn4/Ank1/Myo1e/Bsn/Utrn/Sptbn1/Sptb/Actn1/Actn2/Myh9/Sptbn2",17
"Input","CC","GO:0044391","ribosomal subunit","22/397","181/13939",9.67885251067748e-09,9.6062611168474e-07,6.34219546094393e-07,"Rpl35/Rps3a1/Rpl34/Rps6/Rps8/Rpl9/Rplp0/Rps17/Rpl27a/Rplp2/Rpl13/Rplp1/Rpsa/Rpl14/Rps15/Rpl26/Rps7/Rps23/Rps24/Rpl37/Rps2/Rps4x",22
"IP","BP","GO:0030534","adult behavior","21/425","154/13697",1.18128777526609e-08,6.9794419388638e-06,6.19657973341334e-06,"Scn1a/Oprd1/Nos1/Cntnap2/Chl1/Atp1a3/Sptbn4/Shank1/Grin2d/Shank2/Cacna1a/Unc79/Crhbp/Oxr1/Shank3/Scn8a/Abat/Kalrn/Grik1/Alk/Sptbn2",21
"IP","CC","GO:0005938","cell cortex","27/425","254/13939",1.66684190768241e-08,3.12032805118148e-07,2.11952107840037e-07,"Sptan1/Gsn/Gad1/Rims4/Unc13b/Frmpd1/Macf1/Pclo/Ppp1r9a/Sptbn4/Actn4/Ank1/Unc13a/Myo1e/Bsn/Utrn/Sptbn1/Myh10/Stxbp6/Sptb/Actn1/Actn2/Myh9/Apc/Myo5b/Sptbn2/Iqsec2",27
"Input","CC","GO:0044445","cytosolic part","25/397","239/13939",2.07046856813818e-08,1.46112979068906e-06,9.64659466741554e-07,"Rpl35/Rps3a1/Rpl34/Rps6/Rps8/Rpl9/Rplp0/Rps17/Rpl27a/Rplp2/Rpl13/Rplp1/Rpsa/Rpl14/Rps15/Rpl26/Rps7/Rps23/Homer1/Rps24/Rpl37/Apod/Rps2/Camk2a/Rps4x",25
"IP","CC","GO:0042641","actomyosin","15/425","82/13939",2.20065623731653e-08,3.96118122716976e-07,2.69068090554491e-07,"Dst/Limch1/Actn4/Myh14/Myo5a/Mprip/Myh10/Myo18a/Daam1/Actn1/Cdc42bpb/Flnb/Myh9/Sorbs1/Amot",15
"Input","CC","GO:0022627","cytosolic small ribosomal subunit","11/397","43/13939",2.20825661061319e-08,1.46112979068906e-06,9.64659466741554e-07,"Rps3a1/Rps6/Rps8/Rps17/Rpsa/Rps15/Rps7/Rps23/Rps24/Rps2/Rps4x",11
"Input","BP","GO:0048709","oligodendrocyte differentiation","15/397","87/13697",2.58114013929038e-08,1.99418887161575e-05,1.59541630504349e-05,"Kcnj10/Ptprj/Tspan2/Fgfr3/Zfp365/Vtn/Cnp/Sox9/Id2/Clu/Enpp2/Qk/Sox8/Daam2/Plp1",15
"IP","BP","GO:0050808","synapse organization","35/425","401/13697",3.36727307925267e-08,1.70528329513582e-05,1.51400699352865e-05,"Erbb4/Dnm3/Zfp804a/Rims4/Unc13b/Pclo/Reln/Elfn1/Ppp1r9a/Oxtr/Iqsec3/Clstn3/Shank1/Ntrk3/Shank2/Unc13a/Cacna1a/Cntnap4/Myo5a/Cacna2d2/Bsn/Utrn/Ank3/Myh10/Srcin1/Dgkb/Nrxn3/Dbn1/Cdh9/Shank3/Kalrn/Itsn1/Pcdhgc4/Myo5b/Sptbn2",35
"Input","BP","GO:0022904","respiratory electron transport chain","14/397","77/13697",3.74832568928251e-08,2.33064636283615e-05,1.86459329980434e-05,"Bdnf/Snca/Slc25a18/Slc1a3/Ndufb9/Gpd1/ND2/COX1/COX2/COX3/ND4L/ND4/ND5/CYTB",14
"IP","CC","GO:0099571","postsynaptic cytoskeleton","8/425","19/13939",3.93659087153263e-08,6.739087560765e-07,4.57760783479764e-07,"Ppp1r9a/Myo5a/Nefh/Myh10/Dbn1/Itsn1/Myo5b/Sptbn2",8
"IP","CC","GO:0043197","dendritic spine","22/425","183/13939",4.03193272866282e-08,6.739087560765e-07,4.57760783479764e-07,"Srgap2/Dnm3/Zfp804a/Usp8/Calb1/Oprd1/Grk3/Ppp1r9a/Atp1a3/Shank1/Shank2/Dlgap2/Gria4/Syne1/Grm1/Gria1/Myh10/Actn1/Dbn1/Shank3/Itsn1/Myo5b",22
"Input","BP","GO:0001505","regulation of neurotransmitter levels","29/397","316/13697",4.22327842087835e-08,2.33064636283615e-05,1.86459329980434e-05,"Atp2b4/Rgs4/Atp1a2/Kcnj10/Cd34/Slc1a2/Lin7c/Sirpa/Nlgn1/Slc7a11/Ddah1/Gabra2/Cadps2/Snca/Slc6a11/Slc17a6/Smad3/Cx3cr1/Lin7a/Nrn1/Cplx2/Clu/Ptk2b/Slc1a3/Sept5/Nrxn1/Camk2a/Htr2c/Gpm6b",29
"IP","BP","GO:0007626","locomotory behavior","24/425","213/13697",4.7828707957804e-08,2.11940962138019e-05,1.88168206307676e-05,"Scn1a/Gad1/Calb1/Oprd1/Reln/Chl1/Atp1a3/Sptbn4/Grin2d/Nav2/Cacna1a/Myo5a/Grm1/Gaa/Dbn1/Oxr1/Shank3/Scn8a/Zfp385a/Abat/Kalrn/Lsamp/Rcan2/Alk",24
"Input","BP","GO:0001504","neurotransmitter uptake","10/397","36/13697",4.84351026292119e-08,2.33881001820807e-05,1.87112449104429e-05,"Rgs4/Atp1a2/Kcnj10/Slc1a2/Slc7a11/Snca/Slc6a11/Slc17a6/Slc1a3/Gpm6b",10
"IP","CC","GO:0044309","neuron spine","22/425","186/13939",5.41825517610767e-08,8.74394283592549e-07,5.93943035638663e-07,"Srgap2/Dnm3/Zfp804a/Usp8/Calb1/Oprd1/Grk3/Ppp1r9a/Atp1a3/Shank1/Shank2/Dlgap2/Gria4/Syne1/Grm1/Gria1/Myh10/Actn1/Dbn1/Shank3/Itsn1/Myo5b",22
"Input","BP","GO:0031644","regulation of neurological system process","18/397","134/13697",5.99207309876944e-08,2.57193093117182e-05,2.05762884420902e-05,"Adora1/Rgs4/Kcnj10/Fabp5/Nlgn1/Ctss/Grm3/Nptx2/Cck/Cacng4/Nptx1/Homer1/Ptk2b/Ednrb/Nov/Nptxr/Nrxn1/Htr2c",18
"IP","CC","GO:1902495","transmembrane transporter complex","26/425","253/13939",6.15243847511723e-08,9.59780402118289e-07,6.51942603328212e-07,"Atp1b1/Scn1a/Kcnab1/Kcna2/Grik3/Kcnh2/Cntnap2/Atp1a3/Shank1/Kcnc3/Grin2d/Kcnc1/Shank2/Cacna1a/Gria4/Cacna2d2/Sacm1l/Kcnc2/Kcnip1/Gria1/Kcns3/Akap6/Hcn1/Shank3/Scn8a/Grik1",26
"Input","CC","GO:0033267","axon part","33/397","409/13939",7.22987386694929e-08,4.1003713216841e-06,2.70712570356447e-06,"Adora1/Arpc5/Glul/Ermn/Scn2a/Slc1a2/Bdnf/Kcnip3/Lamp5/Fkbp1a/Penk/Nptx2/Snca/Calm3/Slc17a6/Gabrb3/Gpm6a/Sept7/Cck/Cobl/Rpl26/Ywhae/Cdk5r1/Calm1/Nrsn1/Cplx2/Clu/Ptk2b/Nptxr/Sept5/Calm2/Nrxn1/Mbp",33
"Input","BP","GO:0022900","electron transport chain","14/397","82/13697",8.59981530400904e-08,3.32210865193869e-05,2.6577955507969e-05,"Bdnf/Snca/Slc25a18/Slc1a3/Ndufb9/Gpd1/ND2/COX1/COX2/COX3/ND4L/ND4/ND5/CYTB",14
"IP","CC","GO:0044305","calyx of Held","9/425","28/13939",8.63821748609832e-08,1.30409218822388e-06,8.85820604686484e-07,"Kcna2/Calb1/Unc13b/Cplx1/Nos1/Atp1a3/Kcnc1/Unc13a/Itsn1",9
"IP","MF","GO:0098918","structural constituent of synapse","9/424","28/13615",1.03331694528687e-07,3.04828498859627e-05,2.58329236321717e-05,"Dnm3/Pclo/Shank2/Bsn/Nefh/Actn1/Shank3/Dlgap1/Sptbn2",9
"IP","CC","GO:1990351","transporter complex","26/425","260/13939",1.06614725133897e-07,1.55924035508325e-06,1.05913312468543e-06,"Atp1b1/Scn1a/Kcnab1/Kcna2/Grik3/Kcnh2/Cntnap2/Atp1a3/Shank1/Kcnc3/Grin2d/Kcnc1/Shank2/Cacna1a/Gria4/Cacna2d2/Sacm1l/Kcnc2/Kcnip1/Gria1/Kcns3/Akap6/Hcn1/Shank3/Scn8a/Grik1",26
"Input","BP","GO:0044057","regulation of system process","36/397","471/13697",1.09013891233572e-07,3.82836965304806e-05,3.06282090585422e-05,"Igfbp5/Atp2b4/Adora1/Rgs4/Atp1a2/Kcnj10/Fabp5/Nlgn1/S100a1/Ctss/Ppp3ca/Pde4b/Grm3/Cacna2d1/Nptx2/Mtpn/Foxp1/Gnao1/Smad3/Gnai2/Cck/Gja1/Cacng4/Kcnj2/Slc9a3r1/Nptx1/Homer1/Pik3r1/Ptk2b/Ednrb/Nov/Nptxr/Emp2/Epas1/Nrxn1/Htr2c",36
"IP","CC","GO:0031252","cell leading edge","31/425","352/13939",1.17843495047177e-07,1.67123502066905e-06,1.13520687413867e-06,"Srgap2/Gsn/Kcna2/Oprd1/Ppp1r9a/Cntnap2/Kcnc3/Kcnc1/Mcf2l/Ank1/Myo5a/Apc2/Kcnc2/Inpp5j/Sptbn1/Gria1/Myh10/Srcin1/Syne2/Actn1/Dbn1/Hcn1/Myh9/Robo1/Itsn1/Mapk8ip3/Ptprm/Epb41l3/Apc/Arhgef6/Amot",31
